date,ore_extracted,equipment_workload,avg_processing_cost,pit_utilization_rate,production_intensity,operational_cost,haul_trips,safety_compliance_score,efficiency_index,operational_noise,revenue,profit,risk_zone,mine_region,shutdown_risk
8/3/2018,957.797.133.940.152,779.964.353.720.053,246.613.813.063.595,48.042.004.429.614,231.195.398.539.054,584.319.794.573.059,327.928.982.916.647,7.612.753.935.194,122.800.116.360.693,-200.421.302.250.768,35.477.668.229.737,119.388.888.839.725,Low Risk,Kalimantan,No
8/4/2018,76.188.706.210.653,814.760.198.227.176,521.839.938.014.746,484.299.594.019.908,570.444.546.375.447,285.886.801.464.936,364.831.598.117.016,795.554.047.161.616,9.351.058.922.175,-464.433.509.170.497,338.691.591.938.658,921.466.704.793.481,Low Risk,Sulawesi,No
8/5/2018,965.334.741.595.164,813.040.079.071.895,335.745.626.715.943,707.023.666.736.015,407.844.243.737.615,672.361.418.032.847,383.313.591.303.304,89.752.661.569.516,118.731.507.393.475,727.005.097.705.374,375.144.668.363.204,918.398.099.973.485,Low Risk,Kalimantan,No
8/6/2018,109.471.323.147.691,87.750.978.759.843,588.114.597.590.175,957.993.566.666.666,669.764.094.324.913,540.072.257.550.413,408.376.724.640.839,753.248.692.278.139,124.752.253.131.321,160.252.855.648.348,408.462.124.719.217,128.566.643.788.896,Low Risk,Sulawesi,No
8/7/2018,106.107.309.009.427,845.547.941.166.718,415.675.630.308.688,640.435.930.110.219,451.081.549.675.507,604.026.796.289.678,254.366.609.773.133,840.664.434.781.895,125.489.406.151.254,-634.925.094.200.826,386.986.766.297.528,NA,Low Risk,Papua,No
8/8/2018,675.869.119.668.908,662.667.521.840.456,503.319.060.921.203,697.818.874.013.382,718.738.185.299.194,NA,165.816.524.417.605,78.371.516.256.886,101.992.190.260.326,-747.185.208.222.092,284.547.768.959.753,91.076.922.625.906,Medium Risk,Sulawesi,No
8/9/2018,884.280.358.291.843,76.946.308.882.152,NA,656.970.674.277.593,400.169.068.295.229,583.545.741.675.899,213.820.639.746.264,684.477.635.396.697,114.921.738.435.325,110.599.063.735.898,324.764.784.833.372,108.101.817.259.804,Medium Risk,Kalimantan,No
8/10/2018,892.065.587.953.305,931.927.710.120.373,473.633.802.421.391,802.230.300.171.641,74.061.247.607.294,72.013.236.477.135,977.090.218.942.612,715.364.859.999.134,957.226.164.932.987,410.765.227.798.491,330.421.247.671.394,111.519.993.478.252,Low Risk,Kalimantan,No
8/11/2018,628.817.388.252.063,689.193.292.516.702,578.015.300.321.858,664.330.135.623.326,714.467.333.315.064,532.643.274.444.751,148.787.104.559.597,883.366.814.362.207,912.396.268.332.551,-913.600.959.310.171,262.551.352.162.545,837.233.392.563.177,Medium Risk,Kalimantan,No
8/12/2018,779.700.779.208.611,673.659.193.573.305,560.376.905.996.818,641.716.910.668.952,851.923.156.731.335,709.436.407.758.967,134.402.939.972.933,611.692.393.945.589,115.741.132.407.446,-314.352.898.566.302,281.486.751.518.318,754.405.711.752.502,Low Risk,Papua,No
8/13/2018,102.375.467.391.763,470.591.233.971.833,305.593.786.197.715,64.992.850.288.234,626.546.920.963.427,562.666.213.173.348,295.099.460.338.242,763.586.562.331.092,170.625.778.986.272,419.874.823.854.726,40.863.243.400.351,127.784.225.159.247,Low Risk,Sulawesi,No
8/14/2018,990.253.536.683.553,126.489.812.741.413,575.469.140.687.492,576.009.625.981.188,565.981.908.129.723,577.876.262.935.058,288.385.543.925.688,631.899.755.673.697,782.872.165.925.297,296.656.569.675.488,35.695.204.336.567,109.968.453.718.255,Medium Risk,Papua,No
8/15/2018,889.317.503.914.369,109.813.196.876.145,441.001.396.712.381,844.783.591.163.615,473.516.251.912.173,NA,332.858.372.053.597,796.322.312.934.906,809.845.746.424.637,604.127.253.366.454,314.454.117.374.673,11.578.773.876.211,Low Risk,Sulawesi,No
8/16/2018,903.559.375.803.815,675.197.042.681.724,36.291.198.042.687,471.610.445.168.127,317.611.320.547.905,576.415.358.253.498,926.707.150.228.322,890.268.066.977.791,133.821.583.728.372,-287.235.561.153.325,30.403.047.570.394,109.879.223.888.368,Low Risk,Papua,No
8/17/2018,745.039.550.311.975,666.322.005.601.857,593.706.932.491.623,818.047.911.762.736,666.154.063.333.151,622.175.437.038.547,194.341.732.249.595,721.390.749.215.668,111.813.739.310.473,299.661.154.388.375,272.497.478.325.936,758.258.832.875.441,Medium Risk,Sulawesi,No
8/18/2018,944.898.113.420.051,778.079.038.912.989,559.963.504.199.404,664.556.817.556.528,719.824.621.222.525,482.915.505.205.456,273.099.799.412.303,829.379.539.918.334,121.439.862.297.295,-232.546.825.702.553,364.134.642.161.104,12.200.133.702.433,Low Risk,Papua,No
8/21/2018,107.156.523.165.796,710.687.507.491.022,610.863.005.970.605,701.008.755.732.668,697.190.269.945.732,487.373.566.008.196,146.071.483.225.096,604.178.404.159.788,150.778.678.443.493,-378.884.229.255.852,383.487.088.047.047,12.642.387.306.279,High Risk,Sulawesi,No
8/22/2018,755.692.457.685.151,74.937.365.808.367,633.723.136.226.181,780.132.191.418.047,691.208.456.321.399,700.376.327.963.726,956.040.767.021.477,799.968.033.928.243,100.843.210.797.887,-772.794.947.876.073,31.460.144.117.058,978.150.542.717.169,Low Risk,Papua,No
8/23/2018,689.401.099.363.871,555.281.973.061.639,506.313.518.942.334,788.223.050.576.141,541.903.300.166.978,369.036.755.024.479,245.719.877.863.303,654.935.953.951.233,114.900.183.227.312,-496.543.689.591.591,322.265.492.630.111,128.622.257.072.846,Low Risk,Kalimantan,No
8/24/2018,862.685.993.371.267,786.997.485.370.693,358.722.310.636.658,733.183.452.497.999,635.596.752.859.916,NA,287.730.113.910.511,822.092.597.043.887,109.617.376.091.732,256.808.261.482.616,336.581.765.071.342,848.529.170.356.447,Low Risk,Kalimantan,No
8/25/2018,74.174.320.852.178,756.814.125.601.442,207.891.307.694.372,891.461.003.051.502,408.892.911.151.104,527.805.176.978.686,253.869.270.323.776,963.741.195.593.396,980.086.369.202.365,-173.958.706.289.782,326.450.254.070.352,106.925.318.367.845,Medium Risk,Sulawesi,No
8/26/2018,639.015.961.531.678,548.282.181.201.348,243.340.097.409.673,753.263.991.050.485,538.313.109.835.837,455.496.365.900.341,186.848.373.182.584,647.700.730.206.795,10.650.266.025.528,-248.211.796.570.113,290.072.842.733.954,894.689.457.791.666,Medium Risk,Sulawesi,No
8/27/2018,547.737.545.075.317,644.929.015.219.911,18.679.881.833.028,637.878.272.810.905,561.600.809.948.124,387.885.726.616.194,159.081.860.643.346,71.654.516.372.005,849.298.964.923.368,-155.815.278.899.973,30.246.149.773.915,118.110.072.274.462,Medium Risk,Kalimantan,No
8/28/2018,82.079.991.654.601,692.560.456.736.324,627.683.988.127.392,801.151.053.236.273,869.872.847.124.109,411.265.169.204.957,265.189.277.445.897,661.016.557.749.299,118.516.716.997.388,623.943.993.555.623,357.793.019.044.584,135.657.146.343.959,Low Risk,Kalimantan,No
8/29/2018,108.467.588.185.741,819.624.796.324.626,338.161.290.595.308,847.412.198.143.404,590.979.106.650.366,269.151.903.522.348,285.410.713.723.395,833.021.153.475.502,132.338.099.911.244,190.844.346.214.062,429.738.806.299.835,155.490.431.536.652,Low Risk,Papua,No
8/31/2018,968.793.141.494.287,565.446.047.550.049,282.322.098.265.868,740.762.189.476.576,347.130.726.377.794,467.311.816.275.697,129.393.714.966.718,742.707.855.760.994,161.465.523.582.381,210.354.732.889.579,365.529.749.663.943,121.708.126.872.707,Low Risk,Kalimantan,No
9/1/2018,953.814.873.615.359,808.096.598.183.033,410.612.882.636.487,77.060.110.403.047,712.445.312.289.286,518.287.751.549.346,18.797.948.572.319,742.142.606.301.162,118.032.284.229.381,-17.781.287.140.941,403.187.003.294.247,147.969.313.641.283,Low Risk,Papua,No
9/2/2018,624.372.114.789.479,40,418.814.514.903.352,840.594.669.550.533,531.148.425.015.896,432.021.173.736.598,116.709.805.922.583,70.571.276.516.295,10.406.201.913.158,-672.901.735.701.015,285.581.929.144.783,934.509.656.563.636,Low Risk,Kalimantan,No
9/3/2018,614.351.032.565.911,448.996.186.140.395,365.670.117.475.092,823.926.926.464.852,457.042.586.709.749,563.320.644.429.247,120.914.719.300.345,751.528.531.078.986,102.391.838.760.985,-686.576.645.179.858,316.374.467.972.178,101.695.448.203.526,Medium Risk,Kalimantan,No
9/4/2018,946.244.243.058.042,670.488.356.000.877,623.397.696.544.416,535.892.211.112.101,604.602.005.855.949,575.774.882.174.113,148.850.696.005.393,821.982.695.518.526,141.127.617.592.334,84.614.181.095.778,340.633.033.669.399,110.004.167.742.579,Medium Risk,Papua,No
9/5/2018,787.098.754.525.381,790.862.780.850.491,246.512.637.762.353,694.302.289.075.451,236.613.616.817.076,514.546.092.576.932,248.699.105.742.853,65.488.746.793.916,995.240.607.579.153,-997.753.626.490.097,329.994.972.955.174,886.190.656.812.817,High Risk,Sulawesi,Yes
9/6/2018,641.090.399.075.157,648.059.436.159.962,364.830.021.478.701,678.739.579.314.236,578.426.990.769.308,61.015.547.506.291,285.274.648.808.409,931.708.203.671.999,989.246.299.496.696,344.587.447.337.154,2.918.528.080.106,10.495.533.989.329,Low Risk,Kalimantan,No
9/7/2018,681.709.959.132.826,447.437.182.543.985,30.285.891.186.446,67.800.793.134.245,508.276.866.098.916,531.858.006.018.085,409.967.829.720.117,826.864.786.208.763,113.618.326.522.138,903.828.402.444.119,301.775.416.850.092,954.245.149.789.482,Low Risk,Sulawesi,No
9/8/2018,74.581.595.771.178,70.424.574.868.905,NA,729.786.761.755.418,579.649.627.253.653,NA,128.776.047.688.443,700.613.538.615.931,105.902.798.717.651,37.900.331.254.581,292.640.153.741.828,107.821.908.670.176,Low Risk,Kalimantan,No
9/9/2018,114.138.321.262.847,6.297.257.643.562,419.114.027.775.358,747.747.498.897.089,404.253.345.973.286,643.907.999.724.534,101.926.257.465.966,877.592.589.119.311,181.250.836.035.804,-966.580.402.540.074,425.966.145.592.675,14.328.911.130.869,High Risk,Kalimantan,No
9/10/2018,625.279.011.048.575,530.638.054.949.329,535.326.655.472.163,699.193.302.064.496,696.382.782.764.422,623.286.337.716.266,297.664.564.722.218,925.255.953.293.477,104.213.168.508.096,480.671.856.528.508,257.114.575.653.059,695.648.865.585.644,High Risk,Sulawesi,No
9/11/2018,911.274.597.340.119,60.197.130.908.522,334.705.468.197.353,723.014.359.257.105,519.411.503.624.751,561.312.507.489.932,331.592.809.343.711,890.482.866.500.744,151.381.732.582.061,-260.351.187.818.888,35.854.655.506.823,128.819.715.627.623,Low Risk,Sulawesi,No
9/12/2018,812.275.802.724.845,64.261.210.933.173,18.721.233.043.354,719.487.359.094.208,458.438.504.512.484,447.994.729.672.331,340.065.542.568.918,863.359.769.118.309,126.402.193.629.615,-841.194.343.278.928,340.800.901.591.749,108.996.362.639.448,Low Risk,Kalimantan,No
9/13/2018,117.596.007.160.611,933.771.505.971.111,567.521.366.272.122,691.316.471.704.405,65.202.683.713.664,NA,900.986.161.222.681,86.778.911.098.866,125.936.598.416.882,-146.833.914.830.704,35.100.386.227.457,105.061.278.912.652,Low Risk,Sulawesi,No
9/14/2018,612.208.715.200.513,749.068.165.046.565,317.795.302.341.692,733.572.707.071.547,415.769.850.725.584,587.200.760.104.833,231.632.613.041.438,785.364.437.592.373,817.293.730.754.738,548.530.375.161.409,257.360.233.269.448,669.904.816.468.633,Medium Risk,Kalimantan,No
9/15/2018,642.415.920.126.745,424.626.639.594.044,565.157.282.303.553,836.068.560.543.566,618.332.273.929.867,45.111.028.252.709,114.642.411.482.055,721.693.693.880.001,107.069.320.021.124,13.221.956.205.234,281.706.712.378.274,843.279.704.845.872,Medium Risk,Kalimantan,No
9/16/2018,719.383.857.381.543,452.578.792.376.175,NA,750.777.170.059.867,38.673.165.787.503,52.573.812.821.427,191.481.718.258.001,810.218.527.121.853,119.897.309.563.591,-113.586.880.207.442,343.693.339.237.558,131.432.378.639.634,Medium Risk,Kalimantan,No
9/17/2018,51.508.089.348.993,449.892.412.022.968,562.995.811.242.145,606.847.753.238.822,486.675.473.349.593,429.836.358.409.023,216.075.851.409.696,808.986.713.982.203,858.468.155.816.551,-68.115.834.000.256,254.340.047.114.477,NA,Low Risk,Kalimantan,No
9/18/2018,772.852.552.378.932,701.957.796.180.648,462.430.434.355.047,465.483.851.769.129,37.193.650.834.329,753.798.786.288.055,332.546.706.846.915,707.496.923.609.923,110.099.575.299.829,949.348.803.548.077,290.247.724.903.243,961.248.715.529.731,Medium Risk,Papua,No
9/19/2018,629.866.430.170.964,40,190.696.263.422.724,627.832.680.555.026,412.801.939.251.214,579.920.939.229.671,36.974.376.419.792,836.325.339.561.858,104.977.738.361.827,-614.846.836.327.296,299.324.201.779.668,997.961.292.482.852,Low Risk,Sulawesi,No
9/20/2018,711.716.047.255.485,8.175.070.377.516,306.450.674.727.093,996.905.934.340.559,673.825.291.734.682,488.318.823.264.674,300.093.377.761.077,681.103.271.667.027,870.593.174.601.808,686.268.389.956.343,336.169.824.777.965,128.399.220.303.212,Low Risk,Sulawesi,No
9/21/2018,109.452.022.768.355,713.524.714.472.477,616.214.095.859.323,992.834.173.532.573,691.351.117.583.233,824.581.362.788.057,398.171.132.009.011,901.027.920.943.842,153.396.260.211.217,208.675.750.839.278,395.559.302.010.573,132.612.493.629.032,Low Risk,Papua,No
9/22/2018,86.086.947.214.043,745.723.224.289.005,526.420.672.559.179,510.780.764.842.473,51.293.041.681.864,NA,330.634.734.600.317,579.643.960.987.206,115.440.882.635.942,-443.519.336.556.919,328.317.612.711.954,103.379.504.901.581,Low Risk,Papua,No
9/23/2018,104.618.583.241.091,108.047.237.366.997,348.257.330.777.124,799.067.829.757.579,726.616.257.398.599,659.674.675.273.161,290.674.547.771.881,71.513.948.607.779,968.267.081.977.676,-289.898.925.217.807,393.167.500.608.034,113.953.821.166.891,Low Risk,Kalimantan,No
9/24/2018,840.813.247.391.666,621.425.814.997.436,616.892.002.210.952,890.402.442.393.553,608.609.146.939.352,528.733.112.437.306,330.066.562.090.069,80.739.093.488.373,135.303.881.348.272,151.432.554.150.844,361.784.539.096.745,102.962.285.941.229,Medium Risk,Sulawesi,No
9/25/2018,702.216.754.850.378,793.736.757.819.687,579.269.840.330.817,649.795.814.131.425,551.289.073.504.684,555.063.984.470.161,920.243.359.124.288,70.964.870.475.433,884.697.285.255.246,-930.749.276.022.854,264.420.828.337.122,899.662.713.024.198,Low Risk,Sulawesi,No
9/26/2018,876.219.843.823.149,81.846.788.517.341,506.796.465.839.725,877.918.912.637.137,502.794.195.981.447,461.791.355.672.295,318.452.156.845.015,679.307.472.147.442,107.056.105.645.184,-383.782.722.098.787,333.747.622.689.276,11.933.731.968.768,Low Risk,Papua,No
9/27/2018,799.601.542.014.704,448.542.674.831.781,627.858.159.088.064,84.479.906.877.498,619.891.946.403.629,546.691.033.265.341,221.353.616.786.655,743.728.981.832.576,133.266.923.669.117,289.394.707.296.449,273.663.631.312.771,734.369.814.633.629,Low Risk,Kalimantan,No
9/28/2018,968.610.301.354.228,749.241.348.976.435,55.698.294.548.085,779.636.219.752.484,609.206.951.121.036,43.822.915.672.997,389.940.952.858.888,600.747.374.159.122,129.278.810.182.791,521.587.945.215.197,407.416.140.137.462,138.201.795.996.901,High Risk,Kalimantan,No
9/29/2018,700.680.329.183.096,636.895.285.517.506,231.716.259.764.507,726.964.667.782.267,52.886.577.794.251,503.979.441.457.605,156.071.001.619.566,695.574.898.392.189,110.014.996.988.675,128.006.542.532.392,321.495.412.799.744,107.005.050.500.004,High Risk,Kalimantan,Yes
9/30/2018,90.652.982.051.823,789.583.621.297.649,403.810.916.321.818,702.347.230.540.541,625.437.112.659.386,471.972.638.112.122,412.123.351.965.565,624.205.937.895.657,114.811.122.731.799,156.370.348.757.946,379.622.975.036.133,114.181.194.693.817,Medium Risk,Papua,No
10/1/2018,681.208.024.179.051,581.151.122.467.852,217.806.636.698.078,100,577.782.853.351.759,741.662.227.524.659,413.842.803.742.737,952.180.723.118.152,113.534.670.696.509,882.774.535.685.874,320.723.226.133.036,106.437.072.194.028,Low Risk,Kalimantan,No
10/2/2018,945.249.953.695.182,925.337.835.561.179,331.434.343.964.793,839.970.798.597.356,524.513.791.922.294,594.099.190.938.068,22.182.624.746.114,677.589.420.591.796,102.151.875.495.497,922.665.068.253.599,35.703.326.059.111,118.528.011.446.555,Low Risk,Kalimantan,No
10/3/2018,789.425.104.173.025,606.102.826.967.274,276.656.062.754.337,688.113.579.331.484,465.178.594.850.066,703.702.925.868.194,400.791.335.902.177,874.325.214.429.597,13.024.606.866.182,-53.830.834.975.766,355.217.989.704.282,106.792.206.245.594,Low Risk,Papua,No
10/4/2018,104.900.716.773.993,855.920.574.338.422,612.546.973.312.274,56.782.305.393.385,738.643.019.714.209,NA,412.918.370.584.957,798.977.556.132.244,122.558.938.199.465,-112.975.613.321.035,435.085.738.148.895,138.552.026.976.003,High Risk,Papua,No
10/5/2018,836.161.294.567.626,764.487.390.710.432,590.734.905.623.831,867.595.364.781.708,716.012.942.847.549,416.187.743.773.568,22.391.652.809.456,612.672.810.641.017,109.375.420.017.142,-260.702.792.468.366,343.518.625.514.581,112.027.370.299.045,Medium Risk,Papua,No
10/6/2018,936.227.937.300.498,550.464.208.513.033,254.175.566.919.148,613.691.331.496.444,500.964.807.054.057,402.289.435.864.113,199.901.931.218.337,824.532.784.313.465,156.037.989.550.083,153.476.338.324.912,392.773.350.011.144,12.858.448.988.201,Low Risk,Papua,No
10/7/2018,107.549.012.703.356,102.124.514.655.872,202.733.290.351.462,670.758.585.093.878,291.953.339.397.868,480.966.363.144.633,234.081.473.022.234,602.139.508.356.626,105.311.651.238.455,-151.805.629.023.014,415.948.353.476.056,156.436.031.230.268,Low Risk,Sulawesi,No
10/8/2018,970.892.523.418.304,546.460.275.444.287,407.336.069.226.731,802.722.192.187.871,447.335.928.257.761,567.520.029.188.966,260.105.320.047.587,741.797.449.350.604,161.815.420.569.717,103.886.532.402.615,394.762.132.631.316,142.806.069.824.137,Medium Risk,Sulawesi,No
10/9/2018,877.655.824.457.454,975.929.261.278.963,509.936.998.018.529,690.576.824.406.897,633.297.151.640.248,453.822.377.788.966,216.614.787.464.496,7.514.043.962.615,89.930.270.489.818,-195.652.393.562.864,356.393.942.635.871,12.465.836.715.018,Low Risk,Papua,No
10/10/2018,635.369.224.432.192,548.620.312.284.425,NA,697.644.962.755.499,499.078.166.903.498,532.666.239.379.232,311.674.179.299.735,669.688.164.554.924,105.894.870.738.699,-163.397.651.756.869,315.157.607.662.289,976.843.926.528.562,High Risk,Papua,Yes
10/11/2018,927.644.250.640.973,666.800.337.795.417,360.444.269.806.612,591.527.795.458.786,522.134.215.603.692,456.369.643.687.283,305.001.447.969.116,731.069.567.701.627,139.118.743.356.964,-914.380.864.077.531,415.348.303.900.984,NA,Medium Risk,Papua,No
10/12/2018,598.761.579.800.699,677.355.455.084.128,NA,7.784.752.548.618,676.643.475.854.497,582.021.827.745.873,219.480.290.177.744,783.341.537.663.234,883.969.524.872.776,-616.159.809.322.057,28.104.008.237.422,777.976.683.560.997,High Risk,Sulawesi,No
10/14/2018,738.183.110.207.742,768.427.047.304.803,273.579.882.218.037,639.041.720.367.177,320.530.164.111.597,590.810.387.076.334,155.478.209.692.519,71.795.184.465.224,960.641.758.767.941,13.085.810.428.838,324.895.132.718.606,100.705.134.060.966,Medium Risk,Kalimantan,No
10/15/2018,897.435.790.901.806,774.080.864.693.414,301.675.619.035.959,775.312.249.223.315,348.725.513.910.003,539.808.836.212.507,386.160.237.004.515,717.809.950.468.784,115.935.664.067.507,-350.210.241.189.724,391.896.043.711.618,NA,Low Risk,Papua,No
10/16/2018,680.216.760.737.953,829.905.677.168.466,295.666.422.694.921,656.152.756.485.903,414.999.577.319.731,618.699.301.082.984,225.149.702.152.703,642.918.440.935.449,81.963.141.047.398,320.330.326.842.121,332.345.745.730.143,106.286.763.046.603,High Risk,Papua,Yes
10/17/2018,873.970.052.531.818,673.119.818.213.544,451.359.138.388.652,71.804.870.289.213,70.845.517.464.285,465.574.278.496.369,246.245.528.992.731,744.665.134.242.834,129.838.704.623.395,196.075.111.613.042,400.619.363.033.591,158.910.908.162.974,High Risk,Sulawesi,No
10/18/2018,858.731.140.011.407,831.332.124.496.655,333.758.063.435.089,762.735.848.163.291,698.161.249.730.639,399.846.235.297.998,318.830.502.997.153,859.498.522.346.016,103.295.796.554.397,-234.576.710.973.899,401.944.078.086.721,NA,Medium Risk,Kalimantan,No
10/19/2018,831.306.458.406.447,572.433.095.874.793,622.433.744.592.126,783.383.197.559.841,813.677.843.187.927,282.307.513.081.286,322.006.644.567.009,559.770.463.285.689,138.551.076.401.075,-129.704.958.807.699,390.096.271.491.907,139.470.239.625.445,Low Risk,Kalimantan,No
10/20/2018,767.024.506.700.395,5.077.052.668.281,243.535.545.470.659,502.130.741.343.988,269.503.217.358.943,530.365.830.826.322,3.208.755.054.418,769.278.439.891.266,127.837.417.783.399,-318.488.999.607.537,317.005.962.714.906,827.428.347.909.542,Medium Risk,Sulawesi,No
10/21/2018,589.423.722.511.516,718.018.993.968.257,270.389.458.858.408,803.733.392.682.894,394.632.376.097.219,535.768.433.838.048,287.155.085.722.916,830.431.778.850.006,820.902.688.456.698,145.827.364.461.811,305.381.414.448.049,864.984.322.682.967,Low Risk,Papua,No
10/22/2018,132.135.782.279.014,11.288.022.680.681,355.392.684.910.912,712.395.768.535.652,61.339.492.511.327,479.592.128.194.872,415.406.706.165.522,738.576.545.291.127,117.058.395.448.797,208.620.918.333.176,501.710.922.572.533,164.246.868.746.886,Low Risk,Kalimantan,No
10/23/2018,646.574.461.066.146,446.117.216.023.513,422.384.220.536.333,386.787.404.915.929,352.612.700.998.184,420.144.316.401.417,231.682.188.485.283,761.224.307.179.243,107.762.410.177.691,-115.469.234.347.117,279.597.164.917.889,731.940.762.623.963,Low Risk,Papua,No
10/24/2018,963.796.543.451.745,942.477.755.472.895,550.234.964.685.515,546.290.073.979.141,517.440.993.954.378,469.957.524.873.798,952.896.307.921.037,770.879.477.718.895,102.261.993.755.826,888.626.322.026.748,338.344.966.870.397,104.866.315.047.875,Low Risk,Papua,No
10/25/2018,690.490.113.775.581,600.170.349.402.893,NA,664.957.811.241.217,568.064.317.580.012,593.320.951.518.454,22.787.420.013.221,803.957.638.546.015,115.049.021.409.096,93.083.916.252.415,321.896.836.892.818,862.928.049.327.715,Low Risk,Papua,No
10/26/2018,618.145.607.249.258,499.329.303.710.151,194.762.747.299.392,719.295.202.912.949,653.754.664.261.222,50.679.238.330.268,371.042.639.566.585,901.439.575.857.488,103.024.267.874.876,880.728.646.959.412,319.050.576.108.158,103.602.210.857.671,Low Risk,Kalimantan,No
10/27/2018,111.442.412.924.613,80.931.124.684.214,228.914.234.559.052,771.277.877.327.763,3.293.238.809.746,36.939.406.353.748,298.323.726.723.902,671.396.243.915.415,137.700.314.136.806,93.288.989.639.015,44.936.983.983.053,15.623.956.742.015,Medium Risk,Kalimantan,No
10/28/2018,762.257.102.272.629,819.311.947.789.549,224.810.746.463.481,605.555.636.716.718,400.702.028.613.579,422.182.281.497.916,130.930.385.075.044,701.432.418.600.249,930.362.488.096.444,-506.553.798.854.474,339.811.214.909.297,103.153.214.324.816,Low Risk,Papua,No
10/29/2018,822.309.605.827.723,731.449.811.032.818,215.043.028.458.022,733.151.009.081.786,604.541.799.797.085,435.793.785.149.903,143.538.186.703.809,764.969.548.392.076,112.421.876.856.679,-50.241.447.210.856,37.127.772.381.731,130.636.793.038.655,Medium Risk,Kalimantan,No
10/30/2018,119.616.896.044.329,998.003.383.963.267,371.840.840.750.374,882.477.368.376.271,629.422.620.570.536,443.201.820.904.607,366.350.081.206.765,887.367.734.481.653,119.856.202.861.063,547.714.377.570.146,469.749.395.974.766,170.516.133.480.787,Medium Risk,Kalimantan,No
10/31/2018,981.924.913.842.103,604.233.855.057.505,317.259.703.772.143,655.549.298.106.668,193.273.754.005.162,62.277.614.839.552,304.091.609.758.325,671.947.434.320.863,162.507.430.794.101,431.385.921.786.968,3.620.772.457.826,11.375.477.851.309,Low Risk,Sulawesi,No
11/1/2018,90.872.722.036.968,868.753.329.398.386,460.401.871.332.433,968.644.005.831.562,552.833.496.525.302,415.119.583.444.994,186.576.222.376.898,819.483.649.120.322,104.601.293.556.938,-415.864.260.505.336,379.479.249.889.085,113.602.831.432.105,Low Risk,Kalimantan,No
11/2/2018,760.551.730.929.928,924.219.808.059.548,499.729.153.779.335,843.104.770.955.042,723.212.462.427.091,430.258.093.797.692,409.113.917.138.893,701.678.452.155.247,8.229.121.733.787,608.657.593.759.111,335.751.256.152.772,120.742.862.445.674,Medium Risk,Papua,No
11/3/2018,80.414.129.542.602,695.460.753.977.304,626.853.262.546.938,591.431.837.435.481,418.302.901.714.654,459.210.067.390.497,152.957.890.606.485,666.747.929.883.934,115.627.127.889.989,153.979.946.318.071,324.368.100.585.177,114.475.165.483.149,Low Risk,Kalimantan,No
11/4/2018,80.440.173.631.723,794.756.111.636.157,393.679.425.723.385,800.479.140.659.627,44.168.530.496.625,439.470.497.210.432,377.780.649.773.777,753.344.304.350.004,101.213.658.446.893,103.931.627.013.798,353.494.608.526.646,139.322.876.999.093,Medium Risk,Papua,No
11/5/2018,779.023.144.741.688,60.575.018.787.018,54.044.031.979.749,880.381.086.806.472,426.985.434.066.641,NA,103.017.898.786.347,659.919.684.198.159,128.604.688.919.823,-922.491.273.285.817,306.763.899.038.148,111.303.877.126.316,High Risk,Kalimantan,No
11/6/2018,110.944.868.831.643,89.737.967.274.835,493.126.515.161.712,660.143.523.708.542,460.496.248.700.352,381.153.549.481.607,405.823.206.687.346,756.281.074.706.834,123.632.028.004.222,-411.213.397.374.691,451.286.732.877.386,154.507.217.967.619,Medium Risk,Sulawesi,No
11/7/2018,847.784.744.480.256,71.536.973.571.958,49.479.912.647.279,74.263.339.512.639,751.583.446.728.817,586.029.373.354.211,297.685.439.244.378,833.028.550.486.086,118.510.009.880.063,-513.248.608.666.502,378.057.850.180.653,111.842.490.046.422,Low Risk,Papua,No
11/8/2018,711.652.626.306.919,68.634.033.163.619,332.508.667.530.492,750.051.050.358.512,321.495.474.894.187,670.190.173.735.374,37.565.674.676.327,830.875.799.117.197,103.688.009.214.086,-269.803.828.417.417,331.624.153.137.613,105.752.334.831.249,High Risk,Kalimantan,No
11/9/2018,101.695.985.889.236,110.662.283.392.634,378.623.944.765.422,630.599.945.365.172,474.677.433.384.633,355.394.298.784.544,162.916.622.303.892,674.042.893.932.698,918.976.030.238.003,-112.096.069.246.308,406.412.435.052.868,144.020.079.395.024,Low Risk,Papua,No
11/10/2018,872.458.209.618.165,84.646.816.046.144,18.608.856.249.135,763.198.949.404.908,250.759.199.247.834,594.065.713.425.591,341.766.350.241.378,100,103.070.410.721.953,138.804.564.814.314,345.916.757.212.273,NA,Low Risk,Kalimantan,No
11/11/2018,517.446.305.439.219,458.086.899.565.744,28.174.216.998.741,793.663.640.770.933,509.947.660.476.655,592.807.621.510.351,235.541.421.195.958,86.740.607.617.078,862.410.509.065.365,-108.921.480.184.982,261.035.452.297.451,70.776.352.872.316,Medium Risk,Kalimantan,No
11/12/2018,684.289.515.264.026,554.571.892.133.859,519.027.668.153.867,852.236.530.041.604,774.119.591.487.489,728.219.907.117.947,352.390.520.749.614,884.340.148.246.471,114.048.252.544.004,-249.268.871.565.068,286.906.670.743.039,77.438.418.728.536,Medium Risk,Papua,No
11/13/2018,746.931.921.359.246,778.865.468.757.715,34.816.361.523.699,908.943.139.837.851,526.077.473.174.508,574.435.102.345.151,182.704.778.343.905,831.914.734.090.468,95.899.991.888.278,401.248.206.648.522,35.587.556.140.841,116.067.926.018.038,Low Risk,Papua,No
